size,threads,simple,parallel
1024,2,"0,1208","0,0528"
1024,4,"0,19060000000000002","0,0246"
1024,6,"0,247","0,0368"
1024,8,"0,503","0,10640000000000001"
4096,2,"0,183","0,0564"
4096,4,"0,2422","0,0314"
4096,6,"0,29979999999999996","0,045"
4096,8,"0,5222","0,09079999999999999"
16384,2,"0,4866","0,279"
16384,4,"0,532","0,1326"
16384,6,"0,6338","0,1462"
16384,8,"0,6812","0,1714"
65536,2,"0,6040000000000001","0,47419999999999995"
65536,4,"0,6862","0,2514"
65536,6,"0,8246","0,3136"
65536,8,"1,2204","0,18080000000000002"
262144,2,"3,1308000000000002","0,4544"
262144,4,"3,1382","0,25379999999999997"
262144,6,"3,2647999999999997","0,2628"
262144,8,"3,6742","0,1728"
1048576,2,"6,940200000000001","5,2432"
1048576,4,"7,0716","3,0644"
1048576,6,"9,915000000000001","3,5634"
1048576,8,"55,6218","2,5436"
4194304,2,"64,14500000000001","26,27"
4194304,4,"53,18000000000001","12,9884"
4194304,6,"54,291599999999995","13,8826"
4194304,8,"56,72319999999999","8,4372"
16777216,2,"187,8868","108,7984"
16777216,4,"141,5478","55,345400000000005"
16777216,6,"111,48519999999999","69,1082"
16777216,8,"156,82319999999999","47,364799999999995"
67108864,2,"771,8044","311,95439999999996"
67108864,4,"718,7067999999999","218,47639999999998"
67108864,6,"584,4132","243,5392"
67108864,8,"493,365","130,8556"
268435456,2,"1809,1524","1480,0128000000002"
268435456,4,"2985,5372000000007","993,6136"
268435456,6,"1603,15","983,1597999999999"
268435456,8,"3878,1103999999996","744,3366"
