mode;threads;size;k;result;time
1;1;536870912;4096;2147467071;4.548108
2;1;536870912;4096;2147467071;4.648925
1;2;536870912;4096;2147467555;6.019792
2;2;536870912;4096;2147467555;6.803890
1;3;536870912;4096;2147467248;7.239945
2;3;536870912;4096;2147467248;6.129645
1;4;536870912;4096;2147467329;1.821692
2;4;536870912;4096;2147467329;4.503780
1;5;536870912;4096;2147467113;1.511512
2;5;536870912;4096;2147467113;6.966541
1;6;536870912;4096;2147467081;3.500403
2;6;536870912;4096;2147467081;7.456973
1;7;536870912;4096;2147467437;5.096166
2;7;536870912;4096;2147467437;8.290903
1;8;536870912;4096;2147466925;4.279927
2;8;536870912;4096;2147466925;6.877445
1;1;536870912;4096;2147467227;1.950412
2;1;536870912;4096;2147467227;2.999012
1;2;536870912;4096;2147466706;10.787666
2;2;536870912;4096;2147466706;5.119824
1;3;536870912;4096;2147467145;4.488615
2;3;536870912;4096;2147467145;6.582350
1;4;536870912;4096;2147467270;7.367989
2;4;536870912;4096;2147467270;6.292983
1;5;536870912;4096;2147468125;3.919961
2;5;536870912;4096;2147468125;5.346683
1;6;536870912;4096;2147467269;2.219983
2;6;536870912;4096;2147467269;3.226286
1;7;536870912;4096;2147466879;9.892856
2;7;536870912;4096;2147466879;5.758349
1;8;536870912;4096;2147466572;2.086546
2;8;536870912;4096;2147466572;6.115474
1;1;536870912;4096;2147467460;9.382459
2;1;536870912;4096;2147467460;3.728713
1;2;536870912;4096;2147467399;9.049161
2;2;536870912;4096;2147467399;4.059064
1;3;536870912;4096;2147467597;5.051004
2;3;536870912;4096;2147467597;3.499575
1;4;536870912;4096;2147467339;4.021361
2;4;536870912;4096;2147467339;5.106148
1;5;536870912;4096;2147467402;6.186332
2;5;536870912;4096;2147467402;6.437782
1;6;536870912;4096;2147467576;4.072799
2;6;536870912;4096;2147467576;5.738683
1;7;536870912;4096;2147467496;7.679916
2;7;536870912;4096;2147467496;5.086504
1;8;536870912;4096;2147467299;4.015211
2;8;536870912;4096;2147467299;7.395455
1;1;536870912;4096;2147467563;3.651182
2;1;536870912;4096;2147467563;2.485390
1;2;536870912;4096;2147466974;6.300357
2;2;536870912;4096;2147466974;9.843811
1;3;536870912;4096;2147467123;7.379618
2;3;536870912;4096;2147467123;2.768001
1;4;536870912;4096;2147467576;5.196910
2;4;536870912;4096;2147467576;6.488891
1;5;536870912;4096;2147467467;2.626286
2;5;536870912;4096;2147467467;8.042057
1;6;536870912;4096;2147467681;2.440329
2;6;536870912;4096;2147467681;4.062205
1;7;536870912;4096;2147467362;1.869473
2;7;536870912;4096;2147467362;8.635211
1;8;536870912;4096;2147467605;6.532165
2;8;536870912;4096;2147467605;5.433406
1;1;536870912;4096;2147467125;7.845379
2;1;536870912;4096;2147467125;6.497637
1;2;536870912;4096;2147467519;4.213879
2;2;536870912;4096;2147467519;2.720387
1;3;536870912;4096;2147466947;5.590889
2;3;536870912;4096;2147466947;9.119694
1;4;536870912;4096;2147467137;3.436350
2;4;536870912;4096;2147467137;5.832753
1;5;536870912;4096;2147467372;4.766426
2;5;536870912;4096;2147467372;1.718148
1;6;536870912;4096;2147467281;6.961898
2;6;536870912;4096;2147467281;1.686257
1;7;536870912;4096;2147467100;4.372220
2;7;536870912;4096;2147467100;8.154750
1;8;536870912;4096;2147467409;2.122714
2;8;536870912;4096;2147467409;4.636380
