mode;threads;size;k;result;time
1;8;1024;1234;7452623;0.000007
1;8;16384;1234;1976757855;0.000669
2;8;16384;1234;1976757855;0.009905
1;2;16384;1234;1985452023;0.000269
2;2;16384;1234;1985452023;0.001366
1;4;16384;1234;1986029967;0.000424
2;4;16384;1234;1986029967;0.004544
1;6;16380;1234;1987071331;0.000287
2;6;16380;1234;1987071331;0.004288
1;8;16384;1234;1982796903;0.000724
2;8;16384;1234;1982796903;0.006052
1;2;16384;1234;1989833772;0.000125
2;2;16384;1234;1989833772;0.001386
1;4;16384;1234;1987842076;0.000656
2;4;16384;1234;1987842076;0.003606
1;6;16380;1234;1973827178;0.000205
2;6;16380;1234;1973827178;0.006045
1;8;16384;1234;1978979528;0.000317
2;8;16384;1234;1978979528;0.043639
1;2;16384;1234;1986117335;0.000297
2;2;16384;1234;1986117335;0.001494
1;4;16384;1234;1992660693;0.000677
2;4;16384;1234;1992660693;0.002990
1;6;16380;1234;1979397758;0.000452
2;6;16380;1234;1979397758;0.004114
1;8;16384;1234;1987008935;0.000510
2;8;16384;1234;1987008935;0.007786
1;2;16384;1234;1977252840;0.000356
2;2;16384;1234;1977252840;0.001382
1;4;16384;1234;1983631250;0.000296
2;4;16384;1234;1983631250;0.003215
1;6;16380;1234;1985586695;0.000317
2;6;16380;1234;1985586695;0.004063
1;8;16384;1234;1981027592;0.000357
2;8;16384;1234;1981027592;0.032669
1;2;65536;1234;2107136128;0.000238
2;2;65536;1234;2107136128;0.002699
1;4;65536;1234;2106315563;0.000914
2;4;65536;1234;2106315563;0.004881
1;6;65532;1234;2109506730;0.000455
2;6;65532;1234;2109506730;0.003470
1;8;65536;1234;2107745962;0.000301
2;8;65536;1234;2107745962;0.004983
1;2;65536;1234;2105864491;0.000606
2;2;65536;1234;2105864491;0.002033
1;4;65536;1234;2107506893;0.001334
2;4;65536;1234;2107506893;0.004254
1;6;65532;1234;2107346908;0.001472
2;6;65532;1234;2107346908;0.004513
1;8;65536;1234;2107958564;0.001254
2;8;65536;1234;2107958564;0.006573
1;2;65536;1234;2106499007;0.001200
2;2;65536;1234;2106499007;0.001973
1;4;65536;1234;2107240850;0.000489
2;4;65536;1234;2107240850;0.003430
1;6;65532;1234;2108321222;0.001119
2;6;65532;1234;2108321222;0.005785
1;8;65536;1234;2106218528;0.001473
2;8;65536;1234;2106218528;0.013429
1;2;65536;1234;2107879753;0.001075
2;2;65536;1234;2107879753;0.002528
1;4;65536;1234;2106568656;0.001040
2;4;65536;1234;2106568656;0.003752
1;6;65532;1234;2106958344;0.001863
2;6;65532;1234;2106958344;0.006742
1;8;65536;1234;2108749180;0.002558
2;8;65536;1234;2108749180;0.005028
1;2;65536;1234;2107110376;0.000878
2;2;65536;1234;2107110376;0.002369
1;4;65536;1234;2106854742;0.000649
2;4;65536;1234;2106854742;0.002943
1;6;65532;1234;2107594912;0.001208
2;6;65532;1234;2107594912;0.006829
1;8;65536;1234;2106931729;0.001184
2;8;65536;1234;2106931729;0.013652
1;2;262144;1234;2137347606;0.002098
2;2;262144;1234;2137347606;0.005598
1;4;262144;1234;2137603710;0.004107
2;4;262144;1234;2137603710;0.003407
1;6;262140;1234;2137705025;0.003422
2;6;262140;1234;2137705025;0.008735
1;8;262144;1234;2137541009;0.006793
2;8;262144;1234;2137541009;0.011455
1;2;262144;1234;2138035429;0.000910
2;2;262144;1234;2138035429;0.004884
1;4;262144;1234;2136733597;0.005508
2;4;262144;1234;2136733597;0.006800
1;6;262140;1234;2137329772;0.005913
2;6;262140;1234;2137329772;0.006779
1;8;262144;1234;2137361627;0.009981
2;8;262144;1234;2137361627;0.010891
1;2;262144;1234;2137524016;0.003841
2;2;262144;1234;2137524016;0.004512
1;4;262144;1234;2137422286;0.012858
2;4;262144;1234;2137422286;0.005413
1;6;262140;1234;2137500696;0.002808
2;6;262140;1234;2137500696;0.009188
1;8;262144;1234;2137215681;0.004677
2;8;262144;1234;2137215681;0.012323
1;2;262144;1234;2137573350;0.003644
2;2;262144;1234;2137573350;0.003497
1;4;262144;1234;2137095093;0.005863
2;4;262144;1234;2137095093;0.007029
1;6;262140;1234;2137721678;0.010169
2;6;262140;1234;2137721678;0.009496
1;8;262144;1234;2137070789;0.001194
2;8;262144;1234;2137070789;0.011893
1;2;262144;1234;2137147480;0.005486
2;2;262144;1234;2137147480;0.004056
1;4;262144;1234;2137572375;0.006390
2;4;262144;1234;2137572375;0.007904
1;6;262140;1234;2136950705;0.007179
2;6;262140;1234;2136950705;0.011673
1;8;262144;1234;2137310453;0.007330
2;8;262144;1234;2137310453;0.011825
1;2;1048576;1234;2144926250;0.013080
2;2;1048576;1234;2144926250;0.018887
1;4;1048576;1234;2144916772;0.020500
2;4;1048576;1234;2144916772;0.012795
1;6;1048572;1234;2145016715;0.010208
2;6;1048572;1234;2145016715;0.016952
1;8;1048576;1234;2144921632;0.033620
2;8;1048576;1234;2144921632;0.093863
1;2;1048576;1234;2144890534;0.020779
2;2;1048576;1234;2144890534;0.008284
1;4;1048576;1234;2144958532;0.019319
2;4;1048576;1234;2144958532;0.012414
1;6;1048572;1234;2145134789;0.016549
2;6;1048572;1234;2145134789;0.019025
1;8;1048576;1234;2144993793;0.031614
2;8;1048576;1234;2144993793;0.017940
1;2;1048576;1234;2144920378;0.012209
2;2;1048576;1234;2144920378;0.017772
1;4;1048576;1234;2144939888;0.003699
2;4;1048576;1234;2144939888;0.016156
1;6;1048572;1234;2144933726;0.032832
2;6;1048572;1234;2144933726;0.015907
1;8;1048576;1234;2144928128;0.032190
2;8;1048576;1234;2144928128;0.027125
1;2;1048576;1234;2144999650;0.016169
2;2;1048576;1234;2144999650;0.015238
1;4;1048576;1234;2144864816;0.023896
2;4;1048576;1234;2144864816;0.016948
1;6;1048572;1234;2144886140;0.036474
2;6;1048572;1234;2144886140;0.018031
1;8;1048576;1234;2144966922;0.026816
2;8;1048576;1234;2144966922;0.040797
1;2;1048576;1234;2144975433;0.019236
2;2;1048576;1234;2144975433;0.015413
1;4;1048576;1234;2144916548;0.016797
2;4;1048576;1234;2144916548;0.012728
1;6;1048572;1234;2144961444;0.011241
2;6;1048572;1234;2144961444;0.016985
1;8;1048576;1234;2144978804;0.037015
2;8;1048576;1234;2144978804;0.019619
1;2;4194304;1234;2146878724;0.046777
2;2;4194304;1234;2146878724;0.043028
1;4;4194304;1234;2146825565;0.076011
2;4;4194304;1234;2146825565;0.050469
1;6;4194300;1234;2146822859;0.089240
2;6;4194300;1234;2146822859;0.050164
1;8;4194304;1234;2146862330;0.111804
2;8;4194304;1234;2146862330;0.058003
1;2;4194304;1234;2146856743;0.034840
2;2;4194304;1234;2146856743;0.048997
1;4;4194304;1234;2146856935;0.093260
2;4;4194304;1234;2146856935;0.047237
1;6;4194300;1234;2146857361;0.063912
2;6;4194300;1234;2146857361;0.032463
1;8;4194304;1234;2146849665;0.127078
2;8;4194304;1234;2146849665;0.055303
1;2;4194304;1234;2146862349;0.068479
2;2;4194304;1234;2146862349;0.026810
1;4;4194304;1234;2146859727;0.099281
2;4;4194304;1234;2146859727;0.040455
