size,threads,simple,parallel
1024,4,"0,008",
4092,6,"0,055999999999999994","1,3904999999999998"
4096,2,"0,0564","0,5472"
4096,4,"0,0566","0,9296000000000001"
4096,8,"0,1028","4,7328"
16380,6,"0,49200000000000005","3,5949999999999998"
16384,2,"0,30200000000000005","1,0273999999999999"
16384,4,"0,5134","1,8696000000000002"
16384,8,"0,651","7,385600000000001"
65532,6,"1,4372","5,2490000000000006"
65536,2,"1,0555999999999999","1,5234"
65536,4,"1,7288000000000001","3,3534"
65536,8,"2,0263999999999998","6,5762"
262140,6,"4,8172","5,4475999999999996"
262144,2,"2,1242","3,2600000000000002"
262144,4,"8,0162","5,6252"
262144,8,"6,670799999999999","10,6106"
1048572,6,"15,0526","12,6748"
1048576,2,"12,5718","14,5456"
1048576,4,"22,5602","15,8674"
1048576,8,"28,5684","23,8674"
4194300,6,"87,12500000000001","50,276"
4194304,2,"48,8706","39,7652"
4194304,4,"63,87180000000001","41,421600000000005"
4194304,8,"82,4776","70,163"
16777212,6,"323,3768","306,70779999999996"
16777216,2,"176,1264","201,3608"
16777216,4,"251,494","155,92899999999997"
16777216,8,"542,8394","278,58700000000005"
67108860,6,"1154,9679999999998","851,8108"
67108864,2,"696,9676000000001","992,567"
67108864,4,"749,5634","562,3983999999999"
67108864,8,"1921,155","1209,8365999999999"
268435452,6,"5191,3038","3897,3564000000006"
268435456,2,"2363,1642","2515,692"
268435456,4,"3757,4032","2561,7096"
268435456,8,"5924,941","4540,7658"
536870910,6,"8982,2688","7380,814599999999"
536870912,2,"6476,459","5728,341600000001"
536870912,4,"7424,0578","6250,0432"
536870912,8,"15198,690600000002","8274,9294"
