mode;threads;size;k;result;time
1;2;1024;345;1399910532;0.000146
2;2;1024;345;1399910532;0.000043
1;4;1024;345;1399910532;0.000198
2;4;1024;345;1399910532;0.000027
1;6;1024;345;1399910532;0.000300
2;6;1024;345;1399910532;0.000073
1;8;1024;345;1399910532;0.000328
2;8;1024;345;1399910532;0.000133
1;2;1024;345;1399910532;0.000122
2;2;1024;345;1399910532;0.000063
1;4;1024;345;1399910532;0.000234
2;4;1024;345;1399910532;0.000032
1;6;1024;345;1399910532;0.000252
2;6;1024;345;1399910532;0.000035
1;8;1024;345;1399910532;0.003208
2;8;1024;345;1399910532;0.000033
1;2;1024;345;1399910532;0.000114
2;2;1024;345;1399910532;0.000067
1;4;1024;345;1399910532;0.000176
2;4;1024;345;1399910532;0.000036
1;6;1024;345;1399910532;0.000250
2;6;1024;345;1399910532;0.000035
1;8;1024;345;1399910532;0.000314
2;8;1024;345;1399910532;0.000180
1;2;1024;345;1399910532;0.000155
2;2;1024;345;1399910532;0.000049
1;4;1024;345;1399910532;0.000193
2;4;1024;345;1399910532;0.000031
1;6;1024;345;1399910532;0.000224
2;6;1024;345;1399910532;0.000094
1;8;1024;345;1399910532;0.000266
2;8;1024;345;1399910532;0.000033
1;2;1024;345;1399910532;0.000120
2;2;1024;345;1399910532;0.000036
1;4;1024;345;1399910532;0.000173
2;4;1024;345;1399910532;0.000029
1;6;1024;345;1399910532;0.000303
2;6;1024;345;1399910532;0.000039
1;8;1024;345;1399910532;0.000307
2;8;1024;345;1399910532;0.000136
1;2;4096;345;1958227125;0.000165
2;2;4096;345;1958227125;0.000067
1;4;4096;345;1958227125;0.000229
2;4;4096;345;1958227125;0.000035
1;6;4096;345;1958227125;0.000339
2;6;4096;345;1958227125;0.000041
1;8;4096;345;1958227125;0.002434
2;8;4096;345;1958227125;0.000153
1;2;4096;345;1958227125;0.000221
2;2;4096;345;1958227125;0.000099
1;4;4096;345;1958227125;0.000243
2;4;4096;345;1958227125;0.000041
1;6;4096;345;1958227125;0.000293
2;6;4096;345;1958227125;0.000399
1;8;4096;345;1958227125;0.138185
2;8;4096;345;1958227125;0.001034
1;2;4096;345;1963212650;0.000202
2;2;4096;345;1963212650;0.000070
1;4;4096;345;1963212650;0.000284
2;4;4096;345;1963212650;0.000058
1;6;4096;345;1963212650;0.000416
2;6;4096;345;1963212650;0.000088
1;8;4096;345;1963212650;0.001838
2;8;4096;345;1963212650;0.000051
1;2;4096;345;1963212650;0.000255
2;2;4096;345;1963212650;0.000076
1;4;4096;345;1963212650;0.000265
2;4;4096;345;1963212650;0.000069
1;6;4096;345;1963212650;0.000466
2;6;4096;345;1963212650;0.000193
1;8;4096;345;1963212650;0.003930
2;8;4096;345;1963212650;0.000052
1;2;4096;345;1963212650;0.000206
2;2;4096;345;1963212650;0.000152
1;4;4096;345;1963212650;0.000277
2;4;4096;345;1963212650;0.000057
1;6;4096;345;1963212650;0.000979
2;6;4096;345;1963212650;0.000058
1;8;4096;345;1963212650;0.000411
2;8;4096;345;1963212650;0.003522
1;2;16384;345;2106231309;0.000224
2;2;16384;345;2106231309;0.000160
1;4;16384;345;2106231309;0.000285
2;4;16384;345;2106231309;0.000072
1;6;16384;345;2106231309;0.000438
2;6;16384;345;2106231309;0.000108
1;8;16384;345;2106231309;0.003495
2;8;16384;345;2106231309;0.000093
1;2;16384;345;2106231309;0.000282
2;2;16384;345;2106231309;0.000159
1;4;16384;345;2106231309;0.000291
2;4;16384;345;2106231309;0.000073
1;6;16384;345;2106231309;0.000394
2;6;16384;345;2106231309;0.000152
1;8;16384;345;2106231309;0.003366
2;8;16384;345;2106231309;0.000207
1;2;16384;345;2106231309;0.000218
2;2;16384;345;2106231309;0.000220
1;4;16384;345;2106231309;0.000291
2;4;16384;345;2106231309;0.000074
1;6;16384;345;2106231309;0.000439
2;6;16384;345;2106231309;0.000104
1;8;16384;345;2106231309;0.003592
2;8;16384;345;2106231309;0.000110
1;2;16384;345;2106231309;0.000216
2;2;16384;345;2106231309;0.000107
1;4;16384;345;2106231309;0.000286
2;4;16384;345;2106231309;0.000073
1;6;16384;345;2106231309;0.000417
2;6;16384;345;2106231309;0.000107
1;8;16384;345;2106231309;0.006570
2;8;16384;345;2106231309;0.000108
1;2;16384;345;2106231309;0.000220
2;2;16384;345;2106231309;0.000115
1;4;16384;345;2106231309;0.000335
2;4;16384;345;2106231309;0.000079
1;6;16384;345;2106231309;0.000496
2;6;16384;345;2106231309;0.000113
1;8;16384;345;2106231309;0.018464
